0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,label
-80.0,-5.3730545,-6.322748,-7.905452,-16.608902,-9.817526,-11.9593725,-11.541872,-16.981678,-24.437847,-80.0,-14.657137,-80.0,-80.0,-80.0,-15.342666,-80.0,-15.316732,-80.0,-80.0,-18.33235,-17.162666,-16.28769,-14.128456,-17.595097,-80.0,-80.0,-20.214752,-17.850449,-15.077288,-80.0,-80.0,-80.0,-80.0,-80.0,-27.635368,-80.0,-80.0,-80.0,-80.0,-80.0,-13.601519,-80.0,-80.0,-80.0,-24.406193,-21.884071,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-34.389305,-80.0,-32.105938,-80.0,-80.0,-80.0,-20.061068,-80.0,-80.0,-80.0,-17.931187,0
-80.0,-2.3724442,-7.009487,-9.630412,-16.6257,-10.870303,-80.0,-22.130718,-80.0,-24.54685,-80.0,-80.0,-80.0,-33.990887,-9.586283,-10.139868,-12.868904,-10.742118,-80.0,-80.0,-80.0,-21.431349,-80.0,-80.0,-80.0,-80.0,-80.0,-16.37071,-80.0,-14.764837,-13.809004,-11.321947,-20.054323,-80.0,-22.939894,-18.776957,-80.0,-80.0,-25.390518,-21.441542,-80.0,-80.0,-80.0,-20.168621,-16.595505,-80.0,-80.0,-13.753614,-80.0,-80.0,-80.0,-14.991801,-80.0,-80.0,-80.0,-15.680571,-80.0,-22.737434,-80.0,-18.34177,-22.605436,-15.16042,-80.0,-80.0,0
-80.0,-1.8712254,-11.246706,-8.025139,-12.312158,-11.786739,-10.196889,-10.125285,-18.231392,-15.54591,-16.03647,-13.488555,-17.168379,-17.00608,-80.0,-80.0,-15.391151,-12.4597645,-29.97173,-80.0,-80.0,-13.898623,-12.952071,-80.0,-80.0,-12.242658,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-13.035736,-17.160055,-18.89066,-12.8692465,-80.0,-80.0,-11.9103365,-13.640626,-80.0,-15.860204,-80.0,-80.0,-80.0,-80.0,-80.0,-19.957481,-80.0,-18.105639,-20.69251,-20.240143,-80.0,-80.0,-80.0,-17.350794,-18.014662,-80.0,-80.0,-27.716154,-80.0,-36.13484,-80.0,-80.0,0
-80.0,-0.7273903,-8.803666,-8.473115,-80.0,-17.322235,-21.517681,-11.740473,-14.926936,-12.030826,-16.082047,-22.624758,-80.0,-18.286621,-80.0,-14.504253,-17.718674,-14.389318,-21.1347,-14.186515,-17.714922,-13.381776,-12.802292,-12.937584,-14.54637,-14.836816,-80.0,-80.0,-80.0,-80.0,-80.0,-16.036291,-80.0,-18.88993,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-28.51804,-22.052378,-22.888613,-26.314964,-80.0,-20.88815,-20.05752,-19.175528,-80.0,-19.580956,-21.529324,-21.473845,-18.707964,-15.45558,-80.0,-15.910123,-16.958126,-26.44054,-80.0,-80.0,-80.0,-20.455551,-24.667341,-30.008951,0
-80.0,-1.1985397,-22.873518,-12.717636,-80.0,-10.542625,-80.0,-16.053448,-80.0,-10.148211,-80.0,-12.067191,-13.140977,-80.0,-80.0,-17.568926,-22.451515,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-12.899691,-80.0,-80.0,-9.591678,-12.062719,-12.463966,-16.624207,-80.0,-80.0,-18.919125,-80.0,-80.0,-12.494484,-10.837051,-20.808409,-80.0,-80.0,-80.0,-37.350807,-17.38461,-20.831297,-80.0,-80.0,-80.0,-20.007282,-13.721239,-80.0,-80.0,-80.0,-14.407287,-15.579349,-80.0,-80.0,-23.631989,-19.350496,-16.9179,-80.0,-80.0,-15.314171,-17.853876,-80.0,0
-80.0,-1.1296101,-13.637258,-9.141809,-17.728132,-23.152544,-80.0,-18.868074,-80.0,-80.0,-80.0,-80.0,-80.0,-21.81182,-10.572749,-10.006649,-14.844028,-14.733218,-12.75545,-80.0,-80.0,-18.428608,-11.600239,-19.257751,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-18.154898,-13.751972,-14.518994,-80.0,-80.0,-80.0,-80.0,-18.434134,-17.671114,-80.0,-80.0,-13.683592,-13.82549,-80.0,-17.16146,-11.826931,-21.088076,-80.0,-15.271484,-80.0,-80.0,-80.0,-24.700722,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-15.383603,-20.5482,-19.10298,-15.186578,0
-80.0,-1.5058346,-10.0769005,-8.351209,-11.716896,-9.024229,-12.652285,-8.33951,-12.302962,-9.659342,-80.0,-80.0,-80.0,-11.959732,-12.306121,-15.304856,-80.0,-80.0,-80.0,-80.0,-80.0,-17.279423,-80.0,-29.192217,-80.0,-80.0,-80.0,-80.0,-80.0,-13.393047,-80.0,-80.0,-80.0,-80.0,-80.0,-20.054749,-13.347054,-21.2787,-80.0,-80.0,-80.0,-20.472363,-80.0,-16.377684,-80.0,-19.44255,-80.0,-27.74797,-80.0,-22.170973,-18.98942,-22.60347,-80.0,-80.0,-80.0,-15.1167755,-80.0,-80.0,-17.475632,-18.985863,-80.0,-80.0,-80.0,-20.603104,0
-80.0,-0.42305183,-80.0,-9.640126,-20.782127,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-14.501106,-12.843172,-80.0,-17.566458,-16.943779,-80.0,-19.020222,-15.549184,-80.0,-80.0,-80.0,-80.0,-80.0,-22.318254,-17.047462,-80.0,-80.0,-13.1675005,-13.823681,-18.798687,-17.85771,-80.0,-80.0,-80.0,-18.43686,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-17.041527,-13.783731,-18.558733,-80.0,-19.114634,-80.0,-80.0,-80.0,-21.39544,-17.509115,-20.552647,-80.0,-80.0,-21.433025,-14.63765,-18.251934,-80.0,-80.0,-20.335781,-17.192802,0
-80.0,-1.5890427,-10.765727,-8.089074,-12.146583,-11.506066,-80.0,-22.245283,-80.0,-18.189367,-80.0,-80.0,-80.0,-19.4295,-17.447746,-13.4654875,-14.754488,-12.530454,-17.107422,-20.808228,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-17.95571,-15.118611,-18.425282,-22.433874,-20.069904,-18.11874,-80.0,-80.0,-80.0,-25.294092,-29.083883,-17.447302,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-17.032698,-13.867643,-16.789127,-17.026648,-80.0,-80.0,-80.0,-25.523554,-80.0,-21.133036,-18.014374,-27.336596,-80.0,-80.0,0
-80.0,-4.1503506,-10.040345,-7.8726683,-8.326836,-9.674492,-80.0,-80.0,-80.0,-80.0,-80.0,-14.363282,-17.650959,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-14.470973,-80.0,-11.999301,-17.884645,-13.898469,-80.0,-22.277027,-80.0,-80.0,-80.0,-21.039532,-24.214684,-25.56016,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-23.025234,-32.95988,-80.0,-80.0,-16.28513,-35.981464,-15.815491,-80.0,-17.670057,-19.871042,-80.0,-80.0,-24.176538,-25.684242,-19.094719,-80.0,-20.350742,-37.136635,-80.0,-19.541296,-19.55955,0
